stock_1,stock_2,mi_value
RSG,WM,3.3049439682090194
MA,V,3.107893373413966
CDNS,SNPS,3.0561224127763165
AJG,BRO,3.052814051160151
AJG,MRSH,3.0077644780662736
AJG,RSG,2.978340352789916
MCO,SPGI,2.931339898223479
AJG,CTAS,2.9287421755542304
MSFT,NVDA,2.9188102214016496
CTAS,RSG,2.899429436735657
BRO,MRSH,2.8872504863000614
AJG,PGR,2.880219256961228
AJG,AON,2.858575557592705
CTAS,MSI,2.8510434936849847
BRO,RSG,2.8242639728741894
BRO,CTAS,2.8169454998205508
KLAC,LRCX,2.811364140816435
AJG,MSI,2.8070766530795876
CDNS,MSFT,2.802245094775525
MSI,RSG,2.8018644854293164
AMAT,LRCX,2.7970811363839365
AJG,WM,2.7885137035855125
CTAS,PGR,2.788336075147166
CPRT,CTAS,2.7842786903727434
CTAS,MSFT,2.782053909127656
AJG,MSFT,2.7786233091202295
CTAS,FICO,2.7782278997752368
CTAS,WM,2.7737399658315516
MSFT,SNPS,2.7643285043977226
AVGO,NVDA,2.758216039893686
CPRT,MSFT,2.7507976574503195
MSI,WM,2.7499180656444704
CTAS,MRSH,2.7494030895628887
MRSH,RSG,2.747707342911783
AJG,TT,2.7420815604051105
INTU,MSFT,2.740871151158093
PGR,RSG,2.735053419178246
AZO,ORLY,2.7343486017886898
AJG,FICO,2.7227882139957638
AJG,CPRT,2.720234619407214
CTAS,SNPS,2.719892514205439
GOOG,MSFT,2.7166121771266107
MSFT,RSG,2.7148122396453545
AMAT,KLAC,2.714589845046932
MSFT,MSI,2.713137400899428
BRO,MSFT,2.7021429845806297
CDNS,CTAS,2.7021055520932395
AVGO,KLAC,2.7016043130463645
AON,MRSH,2.7005243195748907
ETN,PH,2.6994095013094337
AJG,WRB,2.6978058014454804
APH,AVGO,2.6969202153793796
COST,CTAS,2.693998079292193
AAPL,MSFT,2.693080889613104
MSI,PGR,2.692563814931588
MSFT,V,2.690057589870148
BRO,PGR,2.6835192517249613
BRO,WM,2.681757187125487
CTAS,NVDA,2.6787855878467473
FICO,MSFT,2.6782142543150913
ETN,TT,2.6781885734317226
AJG,LIN,2.6774931725303803
COST,MSFT,2.6760335616779964
KLAC,MSFT,2.6757044599933533
MPWR,MSFT,2.675550267009858
BRO,MSI,2.674968131432741
AJG,CDNS,2.6728643176269653
COST,RSG,2.672287915415538
APH,CTAS,2.666206571392552
APH,KLAC,2.665992878694878
CPRT,FICO,2.6656410580827927
KLAC,NVDA,2.6651255151072775
BRO,COST,2.660492954559359
CPRT,NVDA,2.658288826395081
AJG,NVDA,2.6542669074019187
RSG,TT,2.6529575567131625
CTAS,NDAQ,2.6508705138884205
RSG,WRB,2.6497150489149988
AFL,AJG,2.6484960074512274
CPRT,RSG,2.6480887590803706
AVGO,CTAS,2.647214167340125
FICO,MSI,2.6470303384627414
CDNS,CPRT,2.6465536249658363
ARES,CTAS,2.6452819227868645
DHI,PHM,2.6443467838763146
MA,MSFT,2.642113517682718
CTAS,LIN,2.6412142311126874
EME,FIX,2.641145468681379
AJG,COST,2.6410399658348656
AJG,SNPS,2.6410019314709796
MSFT,PGR,2.6398479373538724
AJG,APH,2.638101880561454
CTAS,TT,2.635314624393372
BRO,CPRT,2.6347589524933994
PGR,WM,2.633013132985741
AVGO,MSFT,2.6314409561175074
FICO,MA,2.631273155595628
FICO,RSG,2.6294076284378294
ADP,PAYX,2.627989759631633
FICO,PGR,2.627204174694482
APH,NVDA,2.6264860773552368
CTAS,TDG,2.6245133424711966
ADP,CTAS,2.624100877930152
MSI,TT,2.6235996052980903
APH,TT,2.6235138394214292
AJG,ARES,2.6227384401126264
AJG,GRMN,2.6219914367596813
CTAS,SPGI,2.6211825690991652
AEE,LNT,2.6209504856722026
AJG,NDAQ,2.6193109278901074
WEC,XEL,2.6183526769571284
AJG,ORLY,2.6180530467922747
CDNS,FICO,2.617420284958193
AVGO,CDNS,2.617397661934568
COST,MSI,2.616264387641624
APH,ETN,2.615413262369783
MLM,VMC,2.615161125614642
MPWR,NVDA,2.61503513946763
PGR,WRB,2.6126742477601006
ISRG,MSFT,2.612418165291605
BR,CTAS,2.61192641375487
CTAS,MA,2.6116936038048584
AJG,AVGO,2.610535726764797
AON,BRO,2.6081835070151875
