symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2021-01-01 00:00:00+00:00,374.39,374.41,374.26,374.39,39799.0,177.0,374.395068
SPY,2021-01-04 09:00:00+00:00,375.64,376.74,375.64,376.48,90959.0,425.0,376.068024
SPY,2021-01-04 10:00:00+00:00,376.51,376.61,376.15,376.18,26379.0,164.0,376.370934
SPY,2021-01-04 11:00:00+00:00,376.23,376.46,376.19,376.19,26362.0,135.0,376.35523
SPY,2021-01-04 12:00:00+00:00,376.14,376.2,375.74,376.18,66928.0,705.0,376.061605
SPY,2021-01-04 13:00:00+00:00,376.11,376.18,374.1,375.58,293195.0,1893.0,375.835034
SPY,2021-01-04 14:00:00+00:00,375.69,375.79,373.11,373.51,6539235.0,48484.0,374.302998
SPY,2021-01-04 15:00:00+00:00,373.53,373.74,369.82,369.98,12802395.0,82470.0,371.71521
SPY,2021-01-04 16:00:00+00:00,369.995,370.45,366.69,366.96,14974173.0,106572.0,368.598008
SPY,2021-01-04 17:00:00+00:00,366.95,367.25,364.82,366.2701,14461308.0,99276.0,365.942481
SPY,2021-01-04 18:00:00+00:00,366.27,368.64,366.07,368.595,9371421.0,60096.0,367.555199
SPY,2021-01-04 19:00:00+00:00,368.59,368.62,366.6,367.98,9472217.0,70372.0,367.583164
SPY,2021-01-04 20:00:00+00:00,367.97,369.55,367.05,368.85,25290138.0,141104.0,368.511126
SPY,2021-01-04 21:00:00+00:00,368.84,369.37,368.37,369.1,15081351.0,8260.0,368.791755
SPY,2021-01-04 22:00:00+00:00,369.08,369.12,368.79,368.98,2989557.0,860.0,368.796384
SPY,2021-01-04 23:00:00+00:00,369.02,369.02,368.23,368.8,187368.0,1014.0,368.619908
SPY,2021-01-05 00:00:00+00:00,368.88,369.44,368.79,369.34,127766.0,855.0,369.208039
SPY,2021-01-05 09:00:00+00:00,369.1,369.74,368.89,369.64,60903.0,249.0,369.403271
SPY,2021-01-05 10:00:00+00:00,369.36,369.59,369.26,369.42,13964.0,81.0,369.394285
SPY,2021-01-05 11:00:00+00:00,369.39,369.88,368.67,368.92,168817.0,428.0,369.419466
SPY,2021-01-05 12:00:00+00:00,368.93,369.05,367.63,368.46,308223.0,1548.0,368.197181
SPY,2021-01-05 13:00:00+00:00,368.0601,369.51,366.97,367.0,814653.0,3638.0,367.972134
SPY,2021-01-05 14:00:00+00:00,367.01,370.745,366.84,370.1301,5942784.0,44244.0,369.658163
SPY,2021-01-05 15:00:00+00:00,370.16,370.92,368.43,368.815,11813913.0,56403.0,369.651263
SPY,2021-01-05 16:00:00+00:00,368.82,370.09,368.31,369.75,6521447.0,38249.0,369.262753
SPY,2021-01-05 17:00:00+00:00,369.75,370.55,369.66,370.5,4338516.0,31992.0,370.128681
SPY,2021-01-05 18:00:00+00:00,370.51,370.885,370.33,370.87,3155509.0,22157.0,370.565275
SPY,2021-01-05 19:00:00+00:00,370.88,372.5,370.8789,371.44,6792066.0,44022.0,371.879082
SPY,2021-01-05 20:00:00+00:00,371.44,372.22,370.86,371.32,15446543.0,86984.0,371.431058
SPY,2021-01-05 21:00:00+00:00,371.31,371.53,370.96,371.2,11108789.0,5917.0,371.295002
SPY,2021-01-05 22:00:00+00:00,371.39,371.4,371.07,371.23,324174.0,468.0,371.302321
SPY,2021-01-05 23:00:00+00:00,371.23,371.48,370.65,370.92,157418.0,627.0,371.046877
SPY,2021-01-06 00:00:00+00:00,371.04,372.89,370.81,371.41,334697.0,1721.0,371.869072
SPY,2021-01-06 09:00:00+00:00,368.66,370.64,368.04,370.13,142523.0,728.0,369.513623
SPY,2021-01-06 10:00:00+00:00,370.37,371.0,369.89,370.47,129394.0,463.0,370.64611
SPY,2021-01-06 11:00:00+00:00,370.43,370.61,369.3,370.45,150797.0,599.0,370.063095
SPY,2021-01-06 12:00:00+00:00,370.43,371.41,369.85,369.95,955443.0,2848.0,370.619033
SPY,2021-01-06 13:00:00+00:00,369.92,371.41,368.86,369.46,913889.0,3666.0,370.147163
SPY,2021-01-06 14:00:00+00:00,369.41,372.41,369.12,372.23,9244696.0,59575.0,370.855916
SPY,2021-01-06 15:00:00+00:00,372.2463,375.75,371.96,375.1031,12922944.0,81530.0,374.068077
SPY,2021-01-06 16:00:00+00:00,375.11,376.16,375.02,375.4,7962897.0,51738.0,375.629081
SPY,2021-01-06 17:00:00+00:00,375.42,376.58,375.38,376.44,6873269.0,31189.0,375.95777
SPY,2021-01-06 18:00:00+00:00,376.445,376.98,376.085,376.4899,5905344.0,35285.0,376.516089
SPY,2021-01-06 19:00:00+00:00,376.48,376.9,373.0,374.475,19891164.0,121378.0,374.799427
SPY,2021-01-06 20:00:00+00:00,374.47,375.18,372.83,373.53,29353862.0,171252.0,373.762065
SPY,2021-01-06 21:00:00+00:00,373.43,374.97,372.6,374.35,9205532.0,10576.0,373.597794
SPY,2021-01-06 22:00:00+00:00,374.26,375.0,373.55,374.75,4015045.0,1546.0,373.598471
SPY,2021-01-06 23:00:00+00:00,374.73,374.84,374.15,374.47,1003021.0,1100.0,374.450498
SPY,2021-01-07 00:00:00+00:00,374.4,375.01,373.8,375.0,409723.0,1781.0,374.301746
SPY,2021-01-07 09:00:00+00:00,375.77,376.02,374.81,375.31,50312.0,289.0,375.507652
SPY,2021-01-07 10:00:00+00:00,375.19,375.51,374.52,374.52,11944.0,114.0,375.115555
SPY,2021-01-07 11:00:00+00:00,374.56,375.19,374.3,374.6,30255.0,173.0,374.836368
SPY,2021-01-07 12:00:00+00:00,374.58,375.8,374.549,375.57,349361.0,1975.0,375.285556
SPY,2021-01-07 13:00:00+00:00,374.81,377.0,374.5496,375.4,506766.0,3657.0,375.576205
SPY,2021-01-07 14:00:00+00:00,375.49,377.93,375.49,377.8601,9340682.0,52896.0,376.816071
SPY,2021-01-07 15:00:00+00:00,378.09,379.54,377.7522,379.48,12466238.0,81534.0,378.840719
SPY,2021-01-07 16:00:00+00:00,379.48,379.86,378.64,378.785,7361191.0,44144.0,379.126707
SPY,2021-01-07 17:00:00+00:00,378.79,378.995,378.315,378.9101,6802060.0,26811.0,378.657121
SPY,2021-01-07 18:00:00+00:00,378.92,379.1681,378.44,378.971,3508022.0,26524.0,378.784785
SPY,2021-01-07 19:00:00+00:00,378.9782,379.3,378.68,379.2989,5324383.0,36232.0,379.005612
SPY,2021-01-07 20:00:00+00:00,379.29,379.9,378.83,379.06,14079179.0,84496.0,379.440493
SPY,2021-01-07 21:00:00+00:00,379.05,379.39,377.45,379.08,9241486.0,5726.0,379.087531
SPY,2021-01-07 22:00:00+00:00,379.11,379.4,379.06,379.39,748072.0,502.0,379.100614
SPY,2021-01-07 23:00:00+00:00,379.35,379.67,373.4526,379.54,283335.0,719.0,376.417962
SPY,2021-01-08 00:00:00+00:00,379.41,379.88,379.25,379.88,112475.0,585.0,379.58601
SPY,2021-01-08 09:00:00+00:00,380.2,380.23,379.47,380.16,40315.0,245.0,379.887931
SPY,2021-01-08 10:00:00+00:00,380.19,380.45,379.96,380.08,15497.0,101.0,380.204735
SPY,2021-01-08 11:00:00+00:00,380.05,380.59,379.9,380.18,25718.0,160.0,380.309355
SPY,2021-01-08 12:00:00+00:00,380.16,380.59,380.1,380.22,109953.0,634.0,380.37123
SPY,2021-01-08 13:00:00+00:00,380.22,380.9,379.7,380.05,569829.0,4022.0,380.186825
SPY,2021-01-08 14:00:00+00:00,380.09,381.215,380.05,380.51,5426038.0,40277.0,380.677346
SPY,2021-01-08 15:00:00+00:00,380.54,381.04,378.84,380.55,8087343.0,58682.0,380.068146
SPY,2021-01-08 16:00:00+00:00,380.55,380.84,379.55,380.24,6454073.0,36545.0,380.032642
SPY,2021-01-08 17:00:00+00:00,380.24,380.67,379.59,379.77,3711385.0,23834.0,380.163875
SPY,2021-01-08 18:00:00+00:00,379.75,379.9,377.1,378.24,9272775.0,60736.0,378.322959
SPY,2021-01-08 19:00:00+00:00,378.24,380.08,378.17,379.99,9528284.0,56347.0,379.240594
SPY,2021-01-08 20:00:00+00:00,379.99,381.49,379.94,381.24,17873779.0,102245.0,380.892782
SPY,2021-01-08 21:00:00+00:00,381.26,381.96,381.2035,381.7,13110093.0,6840.0,381.328835
SPY,2021-01-08 22:00:00+00:00,381.75,381.91,381.68,381.71,108596.0,427.0,381.778255
SPY,2021-01-11 09:00:00+00:00,379.47,379.6,378.84,378.84,49272.0,366.0,379.318342
SPY,2021-01-11 10:00:00+00:00,378.8,379.53,378.79,379.48,27839.0,206.0,379.258799
SPY,2021-01-11 11:00:00+00:00,379.53,379.63,379.02,379.42,18183.0,152.0,379.347104
SPY,2021-01-11 12:00:00+00:00,379.47,379.57,378.72,379.25,301143.0,1510.0,379.15413
SPY,2021-01-11 13:00:00+00:00,379.19,379.81,377.76,377.91,700380.0,3574.0,378.360369
SPY,2021-01-11 14:00:00+00:00,377.89,379.3,377.25,379.09,8438147.0,57675.0,378.330869
SPY,2021-01-11 15:00:00+00:00,379.1,379.89,378.84,379.5232,5747450.0,49625.0,379.339202
SPY,2021-01-11 16:00:00+00:00,379.52,379.97,378.58,379.8169,4796909.0,36043.0,379.514472
SPY,2021-01-11 17:00:00+00:00,379.82,380.58,379.71,380.24,3360000.0,26000.0,380.101812
SPY,2021-01-11 18:00:00+00:00,380.249,380.48,378.78,379.24,4215113.0,31779.0,379.646779
SPY,2021-01-11 19:00:00+00:00,379.24,379.6,378.3101,379.52,5251409.0,38938.0,378.939855
SPY,2021-01-11 20:00:00+00:00,379.53,379.64,378.12,378.74,13183218.0,79612.0,378.768636
SPY,2021-01-11 21:00:00+00:00,378.75,379.4,378.49,378.75,5689881.0,4268.0,378.794207
SPY,2021-01-11 22:00:00+00:00,378.69,379.0,378.68,378.94,149222.0,515.0,378.886192
SPY,2021-01-11 23:00:00+00:00,379.03,379.4,378.71,379.27,114844.0,584.0,378.955773
SPY,2021-01-12 00:00:00+00:00,379.18,379.95,379.0,379.74,101823.0,709.0,379.546378
SPY,2021-01-12 09:00:00+00:00,379.29,380.2,379.2,379.82,36930.0,205.0,379.666444
SPY,2021-01-12 10:00:00+00:00,379.94,379.94,379.66,379.7,10533.0,55.0,379.765482
SPY,2021-01-12 11:00:00+00:00,379.7,379.83,379.43,379.67,15613.0,74.0,379.56439
SPY,2021-01-12 12:00:00+00:00,379.58,379.97,379.49,379.68,109895.0,604.0,379.780967
SPY,2021-01-12 13:00:00+00:00,379.69,379.93,378.2,378.66,318957.0,2121.0,379.118178
SPY,2021-01-12 14:00:00+00:00,378.55,379.29,377.75,378.82,5098837.0,34565.0,378.649835
SPY,2021-01-12 15:00:00+00:00,378.82,379.73,378.28,379.1393,5808846.0,39422.0,379.183259
SPY,2021-01-12 16:00:00+00:00,379.14,379.86,377.85,378.29,4652265.0,35503.0,378.894961
SPY,2021-01-12 17:00:00+00:00,378.28,378.33,376.36,378.01,7606258.0,53716.0,377.300878
SPY,2021-01-12 18:00:00+00:00,378.02,379.16,377.77,378.8801,4421568.0,34049.0,378.479453
SPY,2021-01-12 19:00:00+00:00,378.895,379.46,378.15,378.74,5462908.0,43124.0,378.878463
SPY,2021-01-12 20:00:00+00:00,378.745,379.5,378.58,378.81,12507726.0,68725.0,379.021787
SPY,2021-01-12 21:00:00+00:00,378.83,379.1,378.62,378.81,6941620.0,5143.0,378.784905
SPY,2021-01-12 22:00:00+00:00,378.66,378.98,378.63,378.78,435188.0,1237.0,378.900528
SPY,2021-01-12 23:00:00+00:00,378.78,379.14,378.59,379.05,70071.0,459.0,378.908277
SPY,2021-01-13 00:00:00+00:00,379.07,379.35,378.95,379.01,44193.0,346.0,379.120126
SPY,2021-01-13 09:00:00+00:00,379.26,379.7,379.22,379.51,12385.0,86.0,379.537897
SPY,2021-01-13 10:00:00+00:00,379.48,379.5,378.23,378.73,30450.0,214.0,378.592412
SPY,2021-01-13 11:00:00+00:00,378.75,378.83,377.9,378.4,28746.0,180.0,378.470465
SPY,2021-01-13 12:00:00+00:00,378.46,378.59,377.25,377.53,442810.0,1846.0,377.874473
SPY,2021-01-13 13:00:00+00:00,377.56,379.45,377.38,378.32,450671.0,1863.0,378.063228
SPY,2021-01-13 14:00:00+00:00,378.3,379.29,378.24,378.848,4169932.0,29609.0,378.893329
SPY,2021-01-13 15:00:00+00:00,378.8401,379.79,377.85,379.75,7365422.0,45314.0,378.977965
SPY,2021-01-13 16:00:00+00:00,379.745,379.94,379.22,379.59,3655339.0,29143.0,379.576543
SPY,2021-01-13 17:00:00+00:00,379.62,380.35,379.09,380.1102,4458354.0,28750.0,379.625292
SPY,2021-01-13 18:00:00+00:00,380.11,380.37,379.94,380.243,2483951.0,23806.0,380.169426
SPY,2021-01-13 19:00:00+00:00,380.24,380.86,379.87,380.385,5562350.0,46601.0,380.542126
SPY,2021-01-13 20:00:00+00:00,380.3844,380.53,379.61,379.76,10853006.0,70797.0,380.036963
SPY,2021-01-13 21:00:00+00:00,379.76,380.23,379.66,380.07,6158826.0,4208.0,379.833818
SPY,2021-01-13 22:00:00+00:00,380.15,380.7,380.05,380.54,310724.0,1205.0,380.54651
SPY,2021-01-13 23:00:00+00:00,380.53,380.65,380.19,380.19,239778.0,1102.0,380.363758
SPY,2021-01-14 00:00:00+00:00,380.18,380.82,380.09,380.7,64822.0,441.0,380.629957
SPY,2021-01-14 09:00:00+00:00,380.81,380.92,380.67,380.83,24502.0,145.0,380.803573
SPY,2021-01-14 10:00:00+00:00,380.76,380.76,380.04,380.3,22953.0,125.0,380.427878
SPY,2021-01-14 11:00:00+00:00,380.38,380.46,380.0,380.46,24327.0,144.0,380.244913
SPY,2021-01-14 12:00:00+00:00,380.44,380.55,380.26,380.48,197716.0,880.0,380.435546
SPY,2021-01-14 13:00:00+00:00,380.47,380.57,380.05,380.45,513637.0,2132.0,380.42122
SPY,2021-01-14 14:00:00+00:00,380.48,380.93,380.22,380.835,3686747.0,27555.0,380.592747
SPY,2021-01-14 15:00:00+00:00,380.83,381.13,380.36,380.77,4451351.0,35309.0,380.807622
SPY,2021-01-14 16:00:00+00:00,380.76,380.87,380.18,380.38,4035195.0,27204.0,380.504478
SPY,2021-01-14 17:00:00+00:00,380.37,380.76,379.84,380.63,4058639.0,30321.0,380.296105
SPY,2021-01-14 18:00:00+00:00,380.63,380.73,380.07,380.24,2853058.0,24338.0,380.445753
SPY,2021-01-14 19:00:00+00:00,380.24,380.52,379.65,379.9031,3375466.0,28429.0,380.098422
SPY,2021-01-14 20:00:00+00:00,379.905,380.08,378.1,378.45,18604245.0,92241.0,378.899439
SPY,2021-01-14 21:00:00+00:00,378.45,378.85,378.26,378.46,8268360.0,5036.0,378.495635
SPY,2021-01-14 22:00:00+00:00,378.37,378.87,378.37,378.87,372152.0,977.0,378.667539
SPY,2021-01-14 23:00:00+00:00,378.86,379.22,378.74,379.02,111207.0,657.0,378.992445
SPY,2021-01-15 00:00:00+00:00,378.91,379.05,378.0,378.25,218434.0,1538.0,378.538436
SPY,2021-01-15 09:00:00+00:00,377.4,377.73,377.27,377.44,35801.0,190.0,377.503385
SPY,2021-01-15 10:00:00+00:00,377.5,377.9,377.1,377.31,18778.0,101.0,377.474876
SPY,2021-01-15 11:00:00+00:00,377.25,377.25,376.65,377.18,111025.0,297.0,376.884306
SPY,2021-01-15 12:00:00+00:00,377.17,377.56,376.7,376.97,332921.0,1770.0,377.162868
SPY,2021-01-15 13:00:00+00:00,376.8101,377.56,376.6,376.73,611937.0,3214.0,377.081989
SPY,2021-01-15 14:00:00+00:00,376.71,377.58,376.31,377.1,6819345.0,42298.0,377.04608
SPY,2021-01-15 15:00:00+00:00,377.1,377.32,373.7,375.31,33211545.0,98771.0,375.037452
SPY,2021-01-15 16:00:00+00:00,375.32,376.92,374.3,376.17,9561896.0,65126.0,375.789091
SPY,2021-01-15 17:00:00+00:00,376.18,376.81,375.7,376.64,3962121.0,32308.0,376.290833
SPY,2021-01-15 18:00:00+00:00,376.645,377.29,376.19,376.76,5030987.0,34846.0,376.828382
SPY,2021-01-15 19:00:00+00:00,376.76,377.17,376.31,376.4768,5697193.0,41611.0,376.702971
SPY,2021-01-15 20:00:00+00:00,376.48,377.22,375.41,375.68,14543726.0,91511.0,376.066311
SPY,2021-01-15 21:00:00+00:00,375.68,375.7,374.01,374.12,26049839.0,11721.0,375.455844
SPY,2021-01-15 22:00:00+00:00,374.16,375.7,374.0,375.14,3532034.0,2187.0,374.52664
SPY,2021-01-19 09:00:00+00:00,377.7,378.46,377.7,378.28,59464.0,293.0,378.009824
SPY,2021-01-19 10:00:00+00:00,378.36,378.53,378.05,378.32,65103.0,308.0,378.287002
SPY,2021-01-19 11:00:00+00:00,378.36,378.72,378.36,378.64,43568.0,203.0,378.607439
SPY,2021-01-19 12:00:00+00:00,378.65,378.67,378.1,378.45,248485.0,1339.0,378.420767
SPY,2021-01-19 13:00:00+00:00,378.46,378.68,375.7,378.15,890157.0,2129.0,376.674126
SPY,2021-01-19 14:00:00+00:00,378.18,378.77,377.08,377.71,5232875.0,41761.0,377.94754
SPY,2021-01-19 15:00:00+00:00,377.7199,378.15,377.04,377.7,5235750.0,44813.0,377.586137
SPY,2021-01-19 16:00:00+00:00,377.7,377.99,376.75,377.6514,4701014.0,37288.0,377.415668
SPY,2021-01-19 17:00:00+00:00,377.6586,378.81,377.58,378.73,4770920.0,30433.0,378.233205
SPY,2021-01-19 18:00:00+00:00,378.72,379.23,378.64,379.1086,3497047.0,29160.0,378.910052
SPY,2021-01-19 19:00:00+00:00,379.11,379.16,378.53,378.84,6545689.0,38065.0,378.892409
SPY,2021-01-19 20:00:00+00:00,378.835,379.19,378.59,378.63,12170655.0,62288.0,378.897642
SPY,2021-01-19 21:00:00+00:00,378.62,378.9899,378.39,378.9,8686304.0,5360.0,378.645855
SPY,2021-01-19 22:00:00+00:00,378.9,379.05,378.72,379.05,68327.0,390.0,378.913908
SPY,2021-01-19 23:00:00+00:00,379.1,379.85,379.02,379.84,125820.0,965.0,379.507661
SPY,2021-01-20 00:00:00+00:00,379.81,379.81,379.28,379.31,158959.0,636.0,379.361742
SPY,2021-01-20 09:00:00+00:00,379.63,379.86,379.48,379.86,21336.0,123.0,379.686761
SPY,2021-01-20 10:00:00+00:00,379.83,380.35,379.8,380.3,20167.0,116.0,380.012262
SPY,2021-01-20 11:00:00+00:00,380.25,380.33,379.9,379.98,22800.0,129.0,380.05078
SPY,2021-01-20 12:00:00+00:00,379.94,380.09,379.8,380.04,206808.0,973.0,379.960003
SPY,2021-01-20 13:00:00+00:00,380.0,380.65,379.13,380.64,351191.0,1780.0,380.316317
SPY,2021-01-20 14:00:00+00:00,380.66,381.6,380.66,381.3328,6017900.0,36510.0,381.136414
SPY,2021-01-20 15:00:00+00:00,381.34,383.082,381.34,382.7718,12536499.0,60733.0,382.522413
SPY,2021-01-20 16:00:00+00:00,382.77,383.08,382.18,382.92,6914710.0,33286.0,382.632314
SPY,2021-01-20 17:00:00+00:00,382.92,383.76,382.92,383.65,4520466.0,27074.0,383.399144
SPY,2021-01-20 18:00:00+00:00,383.65,384.26,383.615,383.84,4558676.0,28965.0,383.94487
SPY,2021-01-20 19:00:00+00:00,383.85,384.42,383.41,384.1469,5150081.0,31144.0,384.005242
SPY,2021-01-20 20:00:00+00:00,384.145,384.79,383.82,383.86,12418264.0,67327.0,384.324656
SPY,2021-01-20 21:00:00+00:00,383.84,384.1,383.55,383.62,10243387.0,5674.0,383.856259
SPY,2021-01-20 22:00:00+00:00,383.55,383.89,383.55,383.75,99255.0,437.0,383.756375
SPY,2021-01-20 23:00:00+00:00,383.75,384.49,383.7,384.32,150843.0,660.0,384.124651
SPY,2021-01-21 00:00:00+00:00,384.29,384.63,384.0,384.57,92066.0,627.0,384.33278
SPY,2021-01-21 09:00:00+00:00,384.7,384.83,384.6,384.8,6964.0,71.0,384.7061
SPY,2021-01-21 10:00:00+00:00,384.65,384.8,384.44,384.76,9557.0,67.0,384.641869
SPY,2021-01-21 11:00:00+00:00,384.7,385.12,384.7,385.12,24635.0,147.0,384.858701
SPY,2021-01-21 12:00:00+00:00,385.12,385.3,384.74,384.91,158412.0,872.0,385.049219
SPY,2021-01-21 13:00:00+00:00,384.9,385.3,383.8,384.1,415185.0,2324.0,384.498152
SPY,2021-01-21 14:00:00+00:00,384.11,384.58,383.25,383.84,6715470.0,37092.0,383.910545
SPY,2021-01-21 15:00:00+00:00,383.85,384.9,383.5701,384.76,7443382.0,39270.0,384.479142
SPY,2021-01-21 16:00:00+00:00,384.77,384.95,383.66,384.13,4854339.0,31220.0,384.264581
SPY,2021-01-21 17:00:00+00:00,384.1109,384.1576,383.2901,383.93,4919904.0,27396.0,383.667967
