ticker1,ticker2,adf_stat,p_value,beta
AKAM,SNDK,-5.789875531358353,4.900561328023248e-07,0.0367574820815506
EG,ROK,-5.582305179201557,1.3877215372082786e-06,-0.256159275108245
INVH,WBD,-5.488670683101503,2.2003666009171094e-06,-0.29878373222219523
EG,VRSN,-5.458401197904795,2.5509210529209393e-06,-0.3420321498472538
EG,PODD,-5.419599832334636,3.080495761653604e-06,-0.2218414521382384
EG,UNH,-5.356061018995146,4.1865059468508885e-06,0.14182262383114055
SYK,HUM,-5.355725370151582,4.193266284907187e-06,-0.42196481101545924
EG,CTVA,-5.343397304100097,4.449047284898547e-06,-1.2993809921760697
PG,DVA,-5.325975086711966,4.8365101893750905e-06,0.3731746239261629
EG,CDW,-5.324243804774547,4.876755913250944e-06,0.4247770579394003
EG,MOH,-5.320175231258038,4.9726185740488605e-06,0.17767801609925532
EG,EXC,-5.282629363735578,5.948029899200447e-06,-2.5424750743459814
EG,XEL,-5.264038082195506,6.497359693343787e-06,-1.253243063605619
EG,WBD,-5.259414790546419,6.641425584901659e-06,-2.012441831894325
EG,INCY,-5.252908069617626,6.849438472673153e-06,-0.833241727489403
MMM,DUK,-5.252775397069349,6.853744893481254e-06,2.20026972543176
MU,WDC,-5.251712005830341,6.8883564871335815e-06,1.3905082351517977
KHC,EQT,-5.24375665512344,7.152719323709993e-06,-0.336785772154126
TKO,DGX,-5.215162416637981,8.186571593227974e-06,1.7720835460915205
EG,LYB,-5.206226737092469,8.538344804128885e-06,0.9003939367503699
J,ANET,-5.203773334937406,8.637462356017795e-06,0.46654521835003204
EG,CSCO,-5.194751762493193,9.011606398736083e-06,-0.9820459993722614
EG,DE,-5.1944053162081625,9.026282782080499e-06,-0.1756625728682895
EG,ES,-5.189111437740813,9.253445180739756e-06,-1.6041340209068122
MO,DGX,-5.1887308301632356,9.269988788304975e-06,0.4401645648900338
ATO,DGX,-5.18498193227064,9.434477185137646e-06,1.0426380937575397
J,PNR,-5.1834122438093075,9.504185692908037e-06,0.8486211319221701
EG,STZ,-5.176501795800709,9.817047404044187e-06,0.30882300505296095
EG,EVRG,-5.176196168077085,9.831112055942226e-06,-1.0924646195605865
EG,WYNN,-5.171299936749993,1.0059108106655282e-05,-0.6812677626775931
EG,CNP,-5.170563752602374,1.0093828558113891e-05,-2.10016977085779
MMM,CMS,-5.163919115536899,1.0412500551946485e-05,4.220151246961954
EG,AEE,-5.1489756589338675,1.1165145944572651e-05,-0.8219531267140505
SWKS,EQT,-5.146554551869667,1.1291941037774144e-05,-1.4000776103310308
EG,CNC,-5.144337053917339,1.1409294339496992e-05,0.7585923574470304
EG,ADBE,-5.140947617354043,1.1590951296182638e-05,0.12988037811248213
PFE,APTV,-5.135356996796846,1.1896710075803504e-05,0.20232468918479424
EG,MNST,-5.131904204461077,1.2089429311260302e-05,-1.2678244029862795
EG,ELV,-5.13061172185672,1.2162343623909868e-05,0.18038474314454472
LNT,DGX,-5.127921131246268,1.2315497661347695e-05,0.32957880431042297
EG,GILD,-5.1123944067530624,1.3236415165781546e-05,-0.4844905430509367
EG,LUV,-5.1109514728680505,1.332530222994309e-05,-1.9418768385389944
EG,TPR,-5.109216917207451,1.3432917544049262e-05,-0.33438743892260187
MSCI,KIM,-5.088074986662099,1.4814034294656474e-05,14.475860499268368
EG,GL,-5.086754875064934,1.4904678565521164e-05,-0.5473026982338671
MGM,DXCM,-5.080855270117248,1.531636013431791e-05,0.15892474829608835
ED,KO,-5.076183531792675,1.565013231547517e-05,1.1550685664414313
EG,ZTS,-5.070612871869178,1.605731689275554e-05,0.6576523786794318
MSCI,MET,-5.058701016829621,1.6962624409781307e-05,3.1816113391013636
MMM,PPL,-5.0576809950449135,1.704239767231764e-05,6.838577024714005
