d=0.6

Order selection (BIC) — top 10 models:
   (p,q)         AIC         BIC        AICc
(1,15)       -49260.92   -49134.82   -49260.83 ◄ best
(1,17)       -49274.58   -49134.47   -49274.48
(1,5)       -49190.09   -49134.05   -49190.08
(1,4)       -49179.91   -49130.87   -49179.90
(1,18)       -49273.70   -49126.58   -49273.59
(2,15)       -49259.31   -49126.20   -49259.22
(1,6)       -49185.07   -49122.02   -49185.05
(1,14)       -49236.97   -49117.88   -49236.90
(2,18)       -49271.49   -49117.36   -49271.36
(1,8)       -49191.85   -49114.79   -49191.82
