rank,trial,elapsed_s,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,reg_lambda,reg_alpha,subsample,colsample_bytree,ic_mean,ic_std,ic_ir,ic_min,n_folds
1,21,2.21,127,0.07305652147420712,120,7,69,4.61367906014869,0.0071048456403621195,0.5187062780880899,0.7774262346957417,0.004142101284958428,0.057624544009471784,1.1410731409976715,-0.11111111111111112,15
2,4,4.3,558,0.17741022140664234,97,5,151,0.07554804756926677,0.005021678144436656,0.5649607526677358,0.7378524631129668,0.0034769463340891898,0.04237638962230366,1.3024897218345353,-0.07029478458049887,15
3,3,1.26,85,0.13483530448761055,89,7,89,0.07360105081983725,0.0014522079693431152,0.577144746033774,0.8415244766212273,0.0009977324263038623,0.06288429552307676,0.2518675150634121,-0.13287981859410428,15
4,37,1.6,79,0.12611896978222206,102,8,56,0.005321004649183761,0.007511249306013683,0.6246937879161059,0.7856163258713864,9.070294784580511e-05,0.050338964801529655,0.02860338238499134,-0.13197278911564628,15
5,10,3.43,521,0.014768106559704043,41,5,265,1.366447141364937,0.2865997842613491,0.7031934307200353,0.9070101923330174,-0.001179138321995467,0.05916372820245404,-0.3163803420910794,-0.11836734693877553,15
6,1,4.38,523,0.00802076384452658,108,5,151,5.094011902587738,0.2407896225880464,0.911380806635415,0.7217070994136656,-0.00402116402116402,0.05712938608726037,-1.1173584079566634,-0.09387755102040816,15
7,17,2.11,96,0.007321966910947673,28,6,83,5.017420195002704,0.14103526744879583,0.6734349022674185,0.7954577457407084,-0.004686318972033256,0.05687749074681351,-1.3079516414867667,-0.11564625850340136,15
8,11,3.16,414,0.009257007997958581,47,3,65,0.7752421947388953,0.05110577991865431,0.5806358895168009,0.7505223875516818,-0.004928193499622071,0.08125449770574375,-0.9628100435762141,-0.1736961451247166,15
9,34,12.67,598,0.10166281954677299,97,8,61,0.23863528250402422,0.0034728853458102877,0.9123320952281706,0.6551673369620372,-0.005230536659108091,0.05720997310281597,-1.451358755076094,-0.10929705215419502,15
10,16,2.57,127,0.054962090790789224,77,6,173,0.0014670897925451911,0.06718266428448494,0.6649306061663927,0.5722620944330234,-0.006258503401360546,0.049691972349056,-1.999330209290808,-0.10294784580498868,15
11,6,1.79,289,0.02088014993433618,104,8,386,0.0036225128477916286,0.005488509807321691,0.5036811348755028,0.8934621887510692,-0.007570055392961042,0.06471480937657517,-1.856930508522023,-0.1346938775510204,15
12,18,1.61,212,0.17164824571307408,9,5,521,0.002142495900907414,0.06311528797899846,0.7453534971772604,0.9689132274874914,-0.0078083987187619695,0.047079323023317805,-2.6328859236884985,-0.09478458049886623,15
13,7,1.36,208,0.05808994454510841,64,7,518,0.06849566747840921,0.12698622828119185,0.5698984990638287,0.5572650367679868,-0.008299210177515368,0.0666333448525883,-1.977176405285225,-0.15555555555555556,15
14,36,2.92,440,0.009522612623606617,13,7,293,0.5282726262117461,0.02857769866992788,0.6589955484760247,0.752263118511115,-0.008314436885865464,0.062334918550674925,-2.1173941799884646,-0.11836734693877551,15
15,2,1.54,298,0.03867658347825949,34,8,596,0.3362463637644081,0.637006422762669,0.6772629840649342,0.9853490121974516,-0.008317971286373661,0.060935761112384426,-2.166932819209313,-0.10294784580498868,15
16,24,3.31,515,0.13499731170754115,114,3,128,1.2247564307145506,0.2801980867374429,0.686828864436855,0.5472333340307576,-0.008435374149659869,0.057158883881914486,-2.3427226740700418,-0.09387755102040815,15
17,20,3.8,250,0.1363557079984153,106,6,262,0.0027183349224501083,0.30661679508757106,0.6406168919195041,0.8297113173459509,-0.008677248677248674,0.05058207383367804,-2.72323852988945,-0.0857142857142857,15
18,22,2.76,351,0.10674387219224248,51,5,129,6.48033683588981,0.011915063384606708,0.7575285646158573,0.6279825452838014,-0.008798185941043089,0.05745175600099349,-2.4310287735785416,-0.13015873015873017,15
19,14,2.86,193,0.026234578355082847,93,7,66,4.077646622339472,0.048517992696533854,0.6011816823976152,0.6529783120753263,-0.008919123204837492,0.055542668483354464,-2.549151766428083,-0.10929705215419501,15
20,29,3.43,160,0.15310199744502168,16,5,123,0.09001941398429979,0.28308368475628265,0.977811628523485,0.6432231134410276,-0.009100529100529102,0.05520411876059582,-2.6169500399263104,-0.12653061224489795,15
21,8,1.59,292,0.028424601727321846,87,8,494,0.34583845312164885,0.11160241641674164,0.7796035803727068,0.6519750490313061,-0.010898478548648139,0.07031992321429757,-2.4602982418643267,-0.1356009070294785,15
22,12,4.57,566,0.06524046058209429,25,5,156,0.016071201881162473,0.21448474367501655,0.6809063052766953,0.5438249596580504,-0.01248677248677249,0.06133063594260778,-3.2320122728313763,-0.11655328798185943,15
23,19,3.48,315,0.041201463525360575,72,5,111,0.021197077583052174,0.08432407751831769,0.7194557301525233,0.5108060399401653,-0.01466364323507181,0.055985267443670654,-4.157845992595403,-0.11473922902494332,15
24,5,1.82,229,0.011547617609249557,75,7,185,2.141473893047778,0.3892777732954713,0.6561833206910206,0.9161299006976005,-0.015431860340044446,0.06662472281964262,-3.6769111824177885,-0.1482993197278912,15
25,27,12.0,531,0.00850163461873335,120,3,99,0.003367354746357866,0.3210991137344357,0.5609162523142656,0.7531649658103166,-0.0156693208653984,0.06207327293225116,-4.007244109879682,-0.1319727891156463,15
26,30,13.69,579,0.005480199905763965,118,6,334,0.0026520982868756746,0.0033045472040307616,0.7095571596581519,0.9831159560715909,-0.01871504157218444,0.07381152043940485,-4.025009549848087,-0.15736961451247167,15
27,33,2.46,178,0.0198808656136803,119,5,352,2.950954593302374,0.04774753457350677,0.6239197814756791,0.6183311814987906,-0.01992441421012849,0.06255730577852799,-5.056008505730936,-0.12562358276643992,15
28,28,11.09,561,0.04265340184403553,91,5,556,0.7271575512565784,0.5413518984950719,0.5655288757786566,0.5618769018251724,-0.020425158773270467,0.0683063383868044,-4.74684123429948,-0.13469387755102044,15
29,25,1.85,335,0.07859080959175949,52,4,827,0.009202001506366575,0.002844971432215761,0.915556336062453,0.576642158312247,-0.02343001972441496,0.0622562134546239,-5.974343953570723,-0.1173610024100332,15
30,35,1.86,108,0.008500832756029683,117,8,82,0.013768300285560706,0.003700081933669999,0.5577450318326775,0.51057400816822,-0.023552532123960697,0.04884263674033244,-7.65488682486339,-0.11201814058956919,15
31,15,1.47,200,0.04235595731179728,73,4,650,1.0816284932722808,0.45842879965590577,0.7160465198875519,0.8136544203512216,-0.025512030934852815,0.08754431763999262,-4.62612476378287,-0.19454463029881702,15
32,26,2.48,461,0.045626504067613594,28,7,90,0.017429891818596086,0.7509260627915857,0.9859132130304837,0.7503705931011712,-0.03238095238095238,0.06099591721638558,-8.42731295389821,-0.11111111111111115,15
33,32,1.35,208,0.09451892681892086,107,5,245,0.26549924034388384,1.6208408050179686,0.8015535786693628,0.7062857846368402,-0.040650990489457355,0.09010343198608425,-7.161929951802498,-0.27108335359681474,15
34,38,2.75,572,0.005996226912271309,57,3,240,0.002550865802690412,1.2104258510084152,0.5259809332325521,0.9624209345090311,-0.0429415363450854,0.09616105768501897,-7.088896200972463,-0.2653061224489796,15
35,31,2.83,355,0.04506775575626149,28,8,556,0.07405022905253854,0.7994963019765029,0.5089183919884939,0.5545719983828674,-0.04358442568914777,0.07400114755267159,-9.349602422880013,-0.19365079365079363,15
36,13,5.5,295,0.007727206864443399,48,8,760,0.6292576951965632,0.0096259812742158,0.9845881886738619,0.8893754519828974,-0.04675173847073355,0.07919185113442188,-9.371681927995265,-0.21541950113378683,15
37,9,1.39,361,0.005601986064225216,49,5,95,0.043064020633992874,1.4345390329201317,0.6169697429326704,0.529151370844533,-0.0477901056012311,0.1013619654820254,-7.484507662164123,-0.24745023602396676,15
38,39,1.68,255,0.007207011301294643,108,8,747,8.284813231280754,0.926125140834954,0.8897387703856645,0.8212416379977738,-0.06766776634522106,0.09106689850207351,-11.795641520871907,-0.26439909297052155,15
