forward_horizon,mom_short,mom_medium,mom_long,vol_window,ema_span,score,ic,icir,pearson
17,5,103,202,47,14,0.029701370960751365,0.0006413339746673098,0.029701370960751365,0.0031700947889248252
10,8,37,208,10,74,1.0776553235345003,0.0229357062690396,1.0776553235345003,0.0195225968463695
20,1,125,204,63,6,0.8752914265728801,0.017949334616001282,0.8752914265728801,0.015698093540316826
1,11,64,133,98,27,0.3309288249206767,0.007258497918649282,0.3309288249206767,0.0053985608787454386
3,13,62,250,49,87,0.017574668127788944,0.0003812426118289311,0.017574668127788944,0.00018544660098550276
15,10,23,245,59,42,0.004958444721015602,0.00010675045570359601,0.004958444721015602,-0.01232999720207075
1,6,47,212,63,84,0.253636280666491,0.005477841395095023,0.253636280666491,0.003401292044628214
4,9,41,221,45,25,1.6303345876613975,0.03578610633328945,1.6303345876613975,0.03289005307737542
12,2,110,183,43,93,0.9461291832604348,0.02069176337482279,0.9461291832604348,0.02110843811750833
16,8,81,192,96,85,0.48760506693917094,0.010525893859227189,0.48760506693917094,0.0022094081146602374
5,20,71,241,38,20,1.6752383278328304,0.03572008540582804,1.6752383278328304,0.02894113637470373
4,16,59,221,28,16,-0.12054394697325095,-0.002602082043005314,-0.12054394697325095,-0.0026367948742736826
8,8,30,204,12,75,0.5570149312334007,0.011888728555395222,0.5570149312334007,0.009318413970900843
3,9,41,221,43,35,1.2862767676868245,0.027982074861534957,1.2862767676868245,0.023917498946891977
6,16,40,200,38,24,0.7048769585108484,0.015431567979807452,0.7048769585108484,0.01236629203637715
5,8,40,235,55,6,0.12489153562584747,0.0026775693442360124,0.12489153562584747,-0.002364115067195875
1,20,71,215,36,87,0.6640668542868225,0.01433519620209765,0.6640668542868225,0.016260608721198857
14,20,71,231,40,15,0.2448489598058387,0.005459355459355455,0.2448489598058387,-0.007908191468708472
5,20,71,213,42,24,1.5237350399459255,0.03298460798460798,1.5237350399459255,0.027948030069190347
5,20,71,140,30,16,-0.09919524962390931,-0.0021419245909041827,-0.09919524962390931,-0.0030511410707869677
4,7,95,147,45,24,0.5042780874594964,0.011225908458101615,0.5042780874594964,0.010478378253841373
5,21,53,245,44,24,1.2223236588159694,0.02655304284982986,1.2223236588159694,0.0244970756198189
15,14,56,149,46,25,0.5155070961556147,0.011165100961019329,0.5155070961556147,0.017519953058783875
4,14,56,219,45,25,0.32504846434401297,0.007093780937286481,0.32504846434401297,0.010407077912657076
5,20,72,175,37,21,1.1494332753830385,0.02430328552777532,1.1494332753830385,0.019691950121309313
8,20,71,252,40,21,1.1796916476257644,0.0256526767165065,1.1796916476257644,0.02065321692518366
21,20,61,207,13,20,0.466899449210019,0.009896584896584897,0.466899449210019,0.0033798241147188312
1,20,73,167,45,20,0.4218295621857995,0.009211201792403314,0.4218295621857995,0.011415238911375006
7,20,64,131,37,20,0.3714229276348992,0.007992461053685543,0.3714229276348992,0.006941656418881093
7,20,75,245,34,20,0.5357488138220292,0.011709404284810317,0.5357488138220292,0.0080052143525705
15,9,41,197,44,25,0.5871693514790893,0.01283068783068783,0.5871693514790893,0.011726344577519712
8,20,71,236,38,21,1.0424260581427565,0.022735289401956068,1.0424260581427565,0.0130907374635295
4,9,41,194,47,40,0.9812580553931023,0.02127023600259124,0.9812580553931023,0.019673776156513917
4,9,41,235,43,19,1.3779103568161244,0.029685587726824045,1.3779103568161244,0.026625519709487986
3,9,41,216,46,22,1.0012287216042048,0.02140617171610914,1.0012287216042048,0.015256249748050005
5,20,71,238,40,21,1.5187003925485143,0.03254369087702421,1.5187003925485143,0.025245621558963333
5,20,68,238,37,25,1.365644525541946,0.029104537437870767,1.365644525541946,0.025477132006616107
5,20,73,233,37,22,1.4243559661924587,0.029761904761904757,1.4243559661924587,0.023533105143480608
5,20,56,247,13,18,0.5794439408589976,0.012417999652042204,0.5794439408589976,0.014029706106751192
4,9,41,228,56,23,0.6640289716652102,0.014221580888247553,0.6640289716652102,0.010229070654782558
